,uc,ucr,ucrC,ucrss,ucrss_wfilter,uc_fast,ucr_fast,ucrC_fast,ucrss_fast,ucrss_fast_wfilter
uc,,0.9700839892639854,0.9619582225645968,0.9700780201613511,0.9694869836888426,0.9997119992929492,0.9456112453533505,0.9376930124069328,0.945582955531198,0.9425862685322687
ucr,,,0.995904818725592,0.9999949997564819,0.9994727099781677,0.9747616755716917,0.9948725276344826,0.9888629068512054,0.9948547728687227,0.992300435717331
ucrC,,,,0.9958958418891715,0.9961596561871794,0.9670720165474764,0.992162556741339,0.9926544235507607,0.9921553344326063,0.992261493311543
ucrss,,,,,0.999469900439653,0.9747604053864763,0.9948664400236571,0.9888518742449338,0.9948515845665209,0.992299902261469
ucrss_wfilter,,,,,,0.9741683902779776,0.9942748513514763,0.9890689814962603,0.9942610410902544,0.9937502193619447
uc_fast,,,,,,,0.9519897835625103,0.9442221739806594,0.9519660968119528,0.9490152478815285
ucr_fast,,,,,,,,0.9920672495864741,0.9999869889752772,0.9976982935913529
ucrC_fast,,,,,,,,,0.9920700499429495,0.992252305895745
ucrss_fast,,,,,,,,,,0.9976911301205381
ucrss_fast_wfilter,,,,,,,,,,
