OTU	Test-Statistic	P	FDR_P	Bonferroni_P	skin/other_mean	oral_mean	gut_mean	taxonomy
denovo64	382.260199547	9.84583022198e-84	1.54047859653e-79	1.54047859653e-79	0.0020964360587	1.89130434783	0.0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__melaninogenica
denovo5361	360.135515979	6.27431525814e-79	4.90839682644e-75	9.81679365288e-75	0.0062893081761	1.5	0.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Veillonella;s__parvula
denovo19756	358.438944123	1.46545414653e-78	7.64283185889e-75	2.29284955767e-74	0.0104821802935	0.0	1.83333333333	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__;s__
denovo15032	343.755208057	2.26206462234e-75	8.84806577028e-72	3.53922630811e-71	0.0272536687631	0.0	11.0952380952	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__;s__
denovo9262	336.847637786	7.15261474418e-74	2.23819620575e-70	1.11909810287e-69	0.041928721174	0.0	5.85714285714	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospira;s__
denovo21595	336.242014461	9.68220486809e-74	2.52479628944e-70	1.51487777366e-69	0.0649895178197	5.02173913043	0.0	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__
denovo6433	320.700139458	2.29535331237e-70	5.13044256076e-67	3.59130979253e-66	0.30607966457	0.0	22.3095238095	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__
denovo6499	312.136832274	1.66091754302e-68	3.24833948476e-65	2.5986715878e-64	0.0167714884696	0.0	3.54761904762	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__caccae
denovo12324	310.554914098	3.66317139832e-68	6.36821996646e-65	5.73139796981e-64	0.0817610062893	5.28260869565	0.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Oribacterium;s__
denovo154	302.502346962	2.05328850495e-66	3.21257519485e-63	3.21257519485e-62	0.0062893081761	0.0	3.07142857143	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae];g__Odoribacter;s__
denovo1982	301.838453516	2.86162424036e-66	4.07027026043e-63	4.47729728647e-62	0.0083857442348	0.0	2.07142857143	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae
denovo20430	301.592134446	3.23668259494e-66	4.2200946567e-63	5.06411358804e-62	0.0062893081761	0.0	1.45238095238	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae
denovo4532	299.88178377	7.61198708408e-66	9.16131922443e-63	1.19097149918e-61	0.0083857442348	0.0	6.21428571429	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Sutterella;s__
denovo20159	283.403328503	2.88236608426e-62	3.22124998245e-59	4.50974997543e-58	0.0545073375262	0.0	7.61904761905	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae
denovo20112	275.139102493	1.79598628412e-60	1.87333342675e-57	2.81000014013e-56	0.0251572327044	1.39130434783	0.0	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__
denovo18170	271.000356807	1.42239501762e-59	1.39092452785e-56	2.22547924456e-55	0.0	0.0	1.47619047619	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__;s__
denovo18750	269.980233699	2.36884770658e-59	2.18017595395e-56	3.70629912171e-55	0.115303983229	7.15217391304	0.119047619048	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Veillonella;s__dispar
denovo5868	268.364414394	5.31383230433e-59	4.61890112409e-56	8.31402202336e-55	0.167714884696	0.0217391304348	4.66666666667	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__prausnitzii
denovo17975	260.759459793	2.38123772326e-57	1.96088660096e-54	3.72568454182e-53	0.0377358490566	0.0	3.07142857143	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__
denovo13656	255.574427532	3.18213209377e-56	2.48938193696e-53	4.97876387392e-52	0.129979035639	13.6086956522	0.0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__melaninogenica
